"NUTS","Name","Country","Year","GDP_growth","GDP_capita","Labor_Prodx","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_agriculture","GVA_industry","GVA_construction","GVA_services","GVA_public","GFCF_share","Pop_growth","emp_rate","unemp_rate","Employment_rate","Unemployment_rate","Migration_rate","Candidates","CEE","Capital","Coastal","Island","Objective_1","Eurozone","Output_density","Employment_density","Population_density","Dist_BRUX"
"SI03","Vzhodna Slovenija","Slovenia",2017,0.0460103267699204,16034.6199665954,40148.95,2062.4725,0.641,0.1,80.3,1.67,0.135,0.582,0.282,0.228419499600418,0.0324091719431979,0.351970246511342,0.0651195672219832,0.376996373025143,0.173510788713346,0.198459623879035,-0.00112578880788217,0.541,0.068,0.427621624100142,0.0335641249025632,-0.00020725388601036,0,1,0,0,0,0,1,1.41001285503242,0.0376031354860395,0.0879355331133428,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2018,0.0376288863428179,16637.9848588687,41296.16,2137.82833333333,0.646,0.1,80.5,1.64,0.138,0.583,0.279,0.248556915262064,0.0409316555068114,0.346900253982914,0.0673285615331332,0.373903255599169,0.170942045716925,0.216510292535272,0.00149479572653492,0.549,0.054,0.440993333821698,0.0270126730642444,0.00588418430884184,0,1,0,0,0,0,1,1.46525705938235,0.038836950568468,0.0880669787724512,886.216634071038
"SI03","Vzhodna Slovenija","Slovenia",2019,0.0355185670460332,17228.9422395893,43164.54,2252.78583333333,0.641,0.101,80.7,1.68,0.125,0.59,0.285,0.247147566267154,0.0362222427379019,0.349992668661515,0.0714778349199798,0.367647617858054,0.174665066443649,0.21557992468203,0.00471210900300344,0.545,0.049,0.445760490546159,0.0236961209450013,0.0065838760656419,0,1,0,0,0,0,1,1.52445057767202,0.0394417618833839,0.0884819599759922,886.216634071038
"SI04","Zahodna Slovenija","Slovenia",2008,0.0211542306165366,23448.6049412712,41563.59,2052.76416666667,0.648,0.062,80.4,1.59,0.151,0.573,0.276,0.307654010996147,0.0117916360015585,0.193498636304602,0.0764697605956968,0.520130741590545,0.198109225507598,0.269353952280782,0.0117991657331654,0.578,0.034,0.546891827855081,0.0206780683237841,0.0140029293930125,0,1,1,1,0,1,1,2.78391989643174,0.0649293655027626,0.118724329375,822.071823018241
"SI04","Zahodna Slovenija","Slovenia",2009,-0.0785314758591527,21607.1513883949,40330.68,2087.92333333333,0.647,0.075,80.5,1.6,0.139,0.578,0.283,0.266765117101739,0.0115669902803591,0.175026531082075,0.0730629502563268,0.524787610967304,0.215561532457761,0.233435370305767,0.014426183604015,0.567,0.048,0.535717129464973,0.0273910066194933,0.00841371036664667,0,1,1,1,0,1,1,2.60230196858758,0.0645202005370107,0.120437068348828,822.071823018241
"SI04","Zahodna Slovenija","Slovenia",2010,0.00338387291911463,21680.2672428373,41150.66,2160.5725,0.651,0.08,81,1.65,0.136,0.577,0.287,0.235263057374931,0.012082776286077,0.178697014975677,0.0590432643156464,0.527934749637685,0.222242194784914,0.205047612053561,0.00804531194428372,0.558,0.066,0.522805328738601,0.0335968774914612,0.00118168327728588,0,1,1,1,0,1,1,2.63211500474082,0.0634717153122713,0.121406022133349,822.071823018241
"SI04","Zahodna Slovenija","Slovenia",2011,0.0004409250174791,21689.8266150503,42430.03,2184.33833333333,0.638,0.077,81.6,1.61,0.13,0.572,0.297,0.219260771629254,0.0135373553333851,0.185417383295791,0.0538054393537577,0.525171713585069,0.222068108431997,0.190903118599529,0.00470461604245634,0.544,0.07,0.511447020839448,0.0348022977902637,0.00164786783512936,0,1,1,1,0,1,1,2.64566412058658,0.0623848708719927,0.121977190852728,822.071823018241
"SI04","Zahodna Slovenija","Slovenia",2012,-0.026620696946215,21112.4283139151,41704.7,2154.85083333333,0.633,0.101,81.4,1.63,0.121,0.566,0.313,0.20283367229841,0.0125379205344665,0.193710020110665,0.0507879517798507,0.517508777112472,0.225455330462545,0.176101249340311,0.00524445469411715,0.532,0.076,0.506901726135419,0.0371234343765088,0.00273107513011451,0,1,1,1,0,1,1,2.58874039951036,0.0621547155787572,0.122616894703871,822.071823018241
"SI04","Zahodna Slovenija","Slovenia",2013,-0.0125132701357853,20848.2427952007,42152.33,2158.33916666667,0.641,0.108,81.7,1.57,0.111,0.56,0.329,0.194581630739328,0.0127076501645288,0.201452627630614,0.0446415885699347,0.5223719431452,0.218826190489722,0.168183716075157,0.00525254884703581,0.531,0.087,0.500933609958506,0.0428423236514523,0.00266390041493776,0,1,1,1,0,1,1,2.5697741279726,0.0617455506130052,0.123260945932775,822.071823018241
"SI04","Zahodna Slovenija","Slovenia",2014,0.0254332337399033,21378.4810272773,43136.47,2174.1475,0.64,0.11,82.4,1.58,0.119,0.551,0.331,0.19421855425394,0.0131925976395086,0.204367128947889,0.0483527110485945,0.526088485461219,0.2080100661553,0.167887337323074,0.00399688796680498,0.533,0.081,0.504312121778824,0.0396754465812474,0.00069535352992654,0,1,1,1,0,0,1,2.64566412058658,0.0624104436823522,0.123753606124351,822.071823018241
