"NUTS","Name","Country","Year","GDP_growth","Employment_abs","Labor_Productivity_abs","Wage_EUR","Activity_rate","NEET_share","Life_exp","Fertility_rate","Pop_edu_1","Pop_edu_2","Pop_edu_3","inv_rate","GVA_primary","GVA_services","GVA_public","GFCF_share","GDP_EUR","GDP_capita","Population_abs","Pop_growth","emp_rate","unemp_rate","Migration_rate"
"TR52","Konya, Karaman","Turkey",2009,0.0461551299087854,745700,14497.92,811.699166666667,0.538,0.31,75.8,2.11,0.763,0.127,0.11,0.249044011730935,0.454438998103568,0.380965211353721,0.164616516575645,0.222290053741062,10811100000,4688.68519831641,2305785,-0.006569060659224,0.474,0.088,-0.00135788896189367
"TR52","Konya, Karaman","Turkey",2010,0.0462805374647789,751000,17619.25,953.195833333333,0.525,0.305,76.4,2.07,0.77,0.122,0.108,0.279937137164646,0.450989316753117,0.381075881969015,0.167943389096905,0.290095318354036,11236651520.249,4905.68006929765,2290539,-0.00661206487161639,0.472,0.071,-0.00217765338202056
"TR52","Konya, Karaman","Turkey",2011,0.15465746591927,741200,18788.36,890.431666666667,0.505,0.31,76.8,2.1,0.774,0.12,0.106,0.315064136541927,0.484281858288007,0.357892505035514,0.157825636676479,0.29977998109011,12888118766.1382,5664.38011742589,2275292,-0.00665651185157729,0.461,0.055,-0.000209203917563108
"TR52","Konya, Karaman","Turkey",2012,0.0807675897264003,740700,21961.27,1011.51416666667,0.5,0.312,77.6,2.15,0.759,0.126,0.115,0.306265873430053,0.488626796089483,0.355850120029225,0.155523083881293,0.315661750779362,13943722953.8669,6121.87844680452,2277687,0.00105261214824295,0.459,0.05,-0.00548934072153022
"TR52","Konya, Karaman","Turkey",2013,0.0955391242871206,757500,22804.46,1018.75166666667,0.501,0.281,78.3,2.15,0.759,0.126,0.115,0.323237790950979,0.504832129701755,0.344863551747356,0.150310919820974,0.317096775915426,15441973466.5041,6706.75735260443,2302450,0.0108719942643568,0.464,0.038,0.000707941540532911
"TR52","Konya, Karaman","Turkey",2014,0.0423221482151132,771300,22204.21,988.550833333333,0.511,0.272,78.1,2.21,0.741,0.134,0.125,0.324802565168339,0.506290864226854,0.344166683160805,0.149555647922728,0.301834509287155,16310262241.4736,6990.60173132415,2333170,0.013342309279246,0.464,0.055,0.00163382865372005
"TR52","Konya, Karaman","Turkey",2015,0.0315639046420214,811000,23087,1053.84166666667,0.533,0.251,78.5,2.18,0.722,0.138,0.139,0.335170592546381,0.515048364334559,0.340179647609645,0.14479015875131,0.325027392000365,17025334283.1911,7211.25241776202,2360940,0.0119022617297497,0.479,0.065,-0.00174167916168984
"TR52","Konya, Karaman","Turkey",2016,0.026438737347613,793300,23713.66,1139.1425,0.522,0.248,78.4,2.16,0.725,0.129,0.146,0.329984814154172,0.499554066432049,0.346026370341802,0.154419563226149,0.309559950523059,17689303770.5538,7401.90882638256,2389830,0.0122366515032148,0.469,0.061,0.00302490135281589
"TR52","Konya, Karaman","Turkey",2017,0.0630378568176226,827200,21867.55,1009.84,0.526,0.262,78.4,2.11,0.729,0.124,0.147,0.336582325813287,0.510912376916365,0.345051726286925,0.144035896796709,0.283994902538678,19017242745.2794,7868.50929515717,2416880,0.0113187967344958,0.473,0.059,-0.00234434477508192
"TR52","Konya, Karaman","Turkey",2018,0.0401483011340344,847700,18593.69,843.699166666667,0.531,0.269,78.8,2.05,0.729,0.123,0.148,0.332021796051235,0.520458566272734,0.330613544688982,0.148927889038285,0.234733931464882,19987736628.9583,8184.41657581508,2442170,0.0104639038760716,0.477,0.058,0.00249450283968765
"TR52","Konya, Karaman","Turkey",2019,-0.0152621517407411,841100,19341.53,920.921666666667,0.531,0.281,79.2,1.92,0.705,0.131,0.164,0.288498559589312,0.518240650983712,0.323969526098057,0.157803476100105,0.212157553007773,19919630199.7561,8059.50476812556,2471570,0.0120384739801079,0.469,0.079,0.00232281505278022
"TR61","Antalya, Isparta, Burdur","Turkey",2009,0.0271986954567246,928700,20284.7,811.614166666667,0.571,0.286,77.8,1.85,0.734,0.161,0.105,0.249043991269544,0.310448595574111,0.548181055861835,0.141370348564054,0.222290640394089,18838400000,7105.51874880952,2651235,0.00719562480482803,0.495,0.101,0.0190371656982501
"TR61","Antalya, Isparta, Burdur","Turkey",2010,0.100042290552341,982500,24835.18,953.354166666667,0.591,0.269,77.9,1.8,0.704,0.162,0.134,0.279935546365635,0.342684698781715,0.520258187101822,0.13706177117097,0.288006088199707,20871086571.7252,7816.37112000303,2670176,0.00714421769477244,0.514,0.098,0.0250957240271802
"TR61","Antalya, Isparta, Burdur","Turkey",2011,0.101926225109217,1031800,24145.18,890.35,0.597,0.257,78.4,1.79,0.674,0.179,0.148,0.315063497707154,0.324175623809133,0.542109965447766,0.133714410743101,0.298417147088416,23161537691.2378,8613.06432231763,2689117,0.00709353990148964,0.525,0.087,-0.00231823308543288
"TR61","Antalya, Isparta, Burdur","Turkey",2012,0.01871901336529,1074200,25951.42,1011.4525,0.586,0.239,78.6,1.85,0.659,0.191,0.149,0.306260911933087,0.317073368792886,0.544370457590645,0.13856023387064,0.314770750907934,23963154067.6605,8774.2923884832,2731064,0.0155988006472013,0.521,0.073,0.0112534894824874
"TR61","Antalya, Isparta, Burdur","Turkey",2013,0.0493777276668074,1115500,25970.63,1018.69083333333,0.588,0.226,79.2,1.83,0.664,0.178,0.159,0.323236975107458,0.308338450395982,0.55087934753515,0.140790074472943,0.318701206439508,25766767850.4966,9207.54700851066,2798440,0.0246702384125747,0.527,0.072,0.015050170809451
