"NUTS","Year","emp_rate","unemp_rate"
"DED4",2013,0.534,0.074
"DED4",2014,0.546,0.063
"DED4",2015,0.539,0.054
"DED4",2016,0.551,0.044
"DED4",2017,0.556,0.041
"DED4",2018,0.549,0.034
"DED4",2019,0.553,0.037
"DED5",2009,0.529,0.131
"DED5",2010,0.534,0.121
"DED5",2011,0.546,0.111
"DED5",2012,0.551,0.095
"DED5",2013,0.56,0.092
"DED5",2014,0.566,0.083
"DED5",2015,0.561,0.077
"DED5",2016,0.575,0.06
"DED5",2017,0.577,0.051
"DED5",2018,0.583,0.047
"DED5",2019,0.582,0.047
"DEE0",2009,0.513,0.137
"DEE0",2010,0.522,0.114
"DEE0",2011,0.54,0.104
"DEE0",2012,0.535,0.095
"DEE0",2013,0.538,0.091
"DEE0",2014,0.537,0.088
"DEE0",2015,0.536,0.08
"DEE0",2016,0.538,0.074
"DEE0",2017,0.533,0.069
"DEE0",2018,0.536,0.053
"DEE0",2019,0.543,0.046
"DEF0",2009,0.55,0.073
"DEF0",2010,0.55,0.066
"DEF0",2011,0.56,0.058
"DEF0",2012,0.565,0.05
"DEF0",2013,0.56,0.049
"DEF0",2014,0.561,0.046
"DEF0",2015,0.562,0.042
"DEF0",2016,0.566,0.04
"DEF0",2017,0.573,0.036
"DEF0",2018,0.581,0.031
"DEF0",2019,0.593,0.029
"DEG0",2009,0.539,0.107
"DEG0",2010,0.558,0.086
"DEG0",2011,0.569,0.076
"DEG0",2012,0.566,0.072
"DEG0",2013,0.567,0.06
"DEG0",2014,0.563,0.06
"DEG0",2015,0.551,0.058
"DEG0",2016,0.561,0.051
"DEG0",2017,0.569,0.044
"DEG0",2018,0.563,0.041
"DEG0",2019,0.568,0.037
"DK01",2009,0.584,0.065
"DK01",2010,0.594,0.08
"DK01",2011,0.606,0.083
"DK01",2012,0.601,0.084
"DK01",2013,0.597,0.077
"DK01",2014,0.601,0.075
"DK01",2015,0.61,0.068
"DK01",2016,0.621,0.062
"DK01",2017,0.62,0.062
"DK01",2018,0.618,0.054
"DK01",2019,0.625,0.051
"DK02",2009,0.598,0.056
"DK02",2010,0.575,0.071
"DK02",2011,0.561,0.074
"DK02",2012,0.556,0.067
"DK02",2013,0.543,0.073
"DK02",2014,0.543,0.066
"DK02",2015,0.539,0.06
"DK02",2016,0.542,0.062
"DK02",2017,0.55,0.056
"DK02",2018,0.55,0.052
"DK02",2019,0.558,0.049
"DK03",2009,0.597,0.065
"DK03",2010,0.57,0.08
"DK03",2011,0.567,0.077
"DK03",2012,0.554,0.08
